entry_time,exit_time,direction,entry_price,exit_price,sl_price,tp_price,size_usd,pnl,pnl_pct,exit_reason
2022-01-03 09:30:00,2022-01-04 18:45:00,long,46888.32,45505.073387755096,45505.073387755096,49647.14612244898,203.38377662347781,-6.1627070212987825,-2.950087809170608,SL
2022-01-04 19:00:00,2022-01-05 22:00:00,short,46320.4,43231.91298079621,47949.982782801286,43231.91298079621,165.293000891729,10.88894174671509,6.667660510711894,TP
2022-01-06 14:15:00,2022-01-21 02:15:00,short,42874.27,39066.79187433902,44882.40706053596,39066.79187433902,131.12881639699737,11.54007889235651,8.880566656087623,TP
2022-01-21 11:15:00,2022-01-21 21:45:00,long,38815.49,36898.055922714164,36898.055922714164,42511.22474266966,131.33932007899978,-6.593060864596386,-4.939868277550623,SL
2022-01-22 12:15:00,2022-01-26 10:45:00,short,35368.47,38182.03739934836,38182.03739934836,30572.363428682365,79.07209350862568,-6.353455257402193,-7.955015863983819,SL
2022-01-26 13:00:00,2022-02-06 14:30:00,long,37696.09,42163.40046335888,35414.72180396355,42163.40046335888,100.78637983774227,11.863422632349893,11.850858970675423,TP
2022-02-06 14:30:00,2022-02-07 14:30:00,short,41467.15,43120.11251470549,43120.11251470549,38449.67015544808,161.94622903700449,-6.585053587073326,-3.986197543611004,SL
2022-02-08 00:15:00,2022-02-11 23:00:00,long,43779.61,41930.54755532186,41930.54755532186,47015.92748178635,148.16719258183628,-6.376478750296992,-4.223569932848063,SL
2022-02-12 12:00:00,2022-02-17 21:00:00,long,42324.25,40440.26860694412,40440.26860694412,46069.850439526344,136.2892643370806,-6.175682045192278,-4.451304850188441,SL
2022-02-18 01:45:00,2022-02-21 11:45:00,short,40766.5,37317.80843454974,42580.41263144779,37317.80843454974,132.1801726500045,11.076198057992725,8.459621418199402,TP
2022-02-21 14:15:00,2022-02-24 03:30:00,short,38580.0,34873.21255727051,40692.72049550396,34873.21255727051,113.46661292508104,10.811160767714311,9.60805454310391,TP
2022-02-24 19:45:00,2022-02-24 20:00:00,short,37272.3,39583.13946249162,39583.13946249162,32729.31705743477,105.45359653263868,-6.622363814364166,-6.199884263894683,SL
2022-02-24 20:00:00,2022-02-28 20:15:00,short,38825.1,41676.998024895765,41676.998024895765,33714.24441047514,86.30221695027195,-6.408371796267348,-7.345500784017986,SL
2022-03-01 06:00:00,2022-03-04 15:15:00,long,43150.1,40568.62719623515,40568.62719623515,48076.97741891171,102.7502856162546,-6.229279097312113,-5.982541880006873,SL
2022-03-05 12:00:00,2022-03-07 19:45:00,long,39135.5,37184.16910925862,37184.16910925862,42955.54067223247,119.53658275694204,-6.0558297621053,-4.986089077030781,SL
2022-03-08 02:30:00,2022-03-09 03:30:00,short,38745.8,40787.12832129233,40787.12832129233,34690.52446731612,109.68034635819491,-5.866269880123143,-5.26851509400329,SL
2022-03-10 05:45:00,2022-03-24 15:00:00,long,39192.8,43677.62060361327,36511.228296370784,43677.62060361327,81.88449023861078,9.304510598356641,11.442970656889194,TP
2022-03-24 21:45:00,2022-03-27 20:30:00,long,44002.7,46818.04540810655,42511.619600691956,46818.04540810655,173.57178386786453,10.966473034201378,6.398119679261842,TP
