datetime,equity
2022-01-01 00:00:00,200.0
2022-01-02 04:45:00,193.32571403204182
2022-01-02 18:15:00,186.77544576211093
2022-01-03 14:00:00,180.69949836408068
2022-01-04 18:30:00,174.84591138902866
2022-01-05 12:15:00,169.04675708324683
2022-01-10 14:15:00,188.7329775762957
2022-01-11 14:15:00,182.46807379383984
2022-01-13 20:00:00,176.5458403391367
2022-01-14 14:45:00,171.0173141681211
2022-01-16 13:15:00,165.64272032798826
2022-01-20 15:00:00,160.27582075662826
2022-01-21 03:30:00,174.508527636561
2022-01-24 11:00:00,190.50427822221957
2022-02-04 16:15:00,207.5266094972228
2022-02-06 23:00:00,200.6582985902467
2022-02-08 15:15:00,194.37926261137125
2022-02-09 12:30:00,188.27914680766116
2022-02-10 10:00:00,182.35985687324148
2022-02-17 18:00:00,198.59137181596074
2022-02-21 11:30:00,216.48512521918514
2022-02-22 10:30:00,209.71574628397735
2022-02-23 08:15:00,203.15223520259772
2022-02-24 03:30:00,221.87635513987104
2022-02-28 15:15:00,241.67047301490987
2022-03-03 20:45:00,234.22959961310372
2022-03-07 19:30:00,257.2708360360268
2022-03-09 04:00:00,289.3588643203432
2022-03-13 22:45:00,329.3352621117876
2022-03-15 07:00:00,319.0763637305737
2022-03-16 03:30:00,309.13636544856877
2022-03-16 16:15:00,299.0383935977796
2022-03-22 04:15:00,337.28774336162587
2022-03-23 15:30:00,326.4950947198772
2022-03-25 13:45:00,355.4119479286528
2022-03-27 20:30:00,425.75593571133066
2022-03-29 11:30:00,412.3268286781927
2022-04-01 02:45:00,448.74758296384005
2022-04-02 18:00:00,434.65640539297016
2022-04-03 10:30:00,419.2112708414177
2022-04-04 20:30:00,405.9737474535396
2022-04-06 16:30:00,441.89219787060586
2022-04-08 11:00:00,427.16543684691203
2022-04-10 17:30:00,413.4383309614769
2022-04-18 04:15:00,450.03860296068416
2022-04-21 12:45:00,489.90131611629363
2022-04-25 18:45:00,474.59417393790966
2022-04-27 13:30:00,459.7745433539996
2022-04-28 14:00:00,443.9229688510767
2022-05-04 19:00:00,429.66613769208277
2022-05-08 02:00:00,467.8668526542513
2022-05-09 15:15:00,532.1689555615817
2022-05-10 01:00:00,515.8086267239088
2022-05-12 05:00:00,566.1390186711064
2022-05-26 13:15:00,548.7155150927657
2022-05-30 01:45:00,531.5254500659208
2022-05-30 21:15:00,619.5204788085327
2022-06-01 04:00:00,600.0928547902051
2022-06-06 04:00:00,581.3087164630577
2022-06-07 14:30:00,561.802125732619
2022-06-08 13:45:00,544.4036891701655
2022-06-11 13:00:00,651.4188600728188
2022-06-12 15:15:00,631.1703606625991
2022-06-13 08:30:00,687.3909118187951
2022-06-14 11:15:00,666.3405373532203
2022-06-15 18:45:00,645.9335233704504
2022-06-18 20:00:00,764.0636645676723
2022-06-20 12:15:00,739.9051844217101
2022-06-22 03:45:00,716.4738243945351
2022-06-28 20:30:00,694.4714403486229
2022-06-30 01:15:00,672.1884258299483
2022-06-30 12:30:00,649.7693241692053
2022-07-01 04:45:00,629.6727914414417
2022-07-01 17:30:00,609.4067444972598
2022-07-03 19:30:00,589.5733025188671
2022-07-05 12:30:00,571.2068081691182
2022-07-08 01:15:00,636.4820227288812
2022-07-09 01:30:00,616.7648669608861
2022-07-10 00:00:00,595.8804346446694
2022-07-10 21:00:00,576.5341291625248
2022-07-13 23:15:00,558.2735766373911
2022-07-14 14:45:00,539.8608877168549
2022-07-16 00:30:00,523.1079680212172
2022-07-18 06:30:00,613.2634362844842
2022-07-18 16:30:00,594.2413094840967
2022-07-19 14:45:00,575.9011656767793
2022-07-25 19:30:00,739.2872575700274
2022-07-27 18:45:00,809.4217087001551
2022-07-28 12:15:00,783.0955503024486
2022-07-30 11:30:00,756.7945074728203
2022-08-11 01:45:00,733.2828195957475
2022-08-12 18:30:00,710.3142101943085
2022-08-13 08:30:00,687.6840202709191
2022-08-14 12:00:00,666.0050298989808
2022-08-15 06:15:00,644.955301489276
2022-08-15 18:00:00,623.584537602871
2022-08-19 06:30:00,678.8339177175638
2022-08-21 11:45:00,656.8747058028746
2022-08-22 16:00:00,636.2675162056019
2022-08-23 08:15:00,615.6596768664689
2022-08-24 00:30:00,593.2886632578291
2022-08-26 11:00:00,573.5183226959971
2022-09-06 17:15:00,624.427429374663
2022-09-07 13:30:00,603.8900727386389
2022-09-08 12:30:00,584.2644107347035
2022-09-09 08:45:00,636.0160947486808
2022-09-13 11:15:00,692.3613258246122
2022-09-19 05:45:00,754.0743305582836
2022-09-20 12:00:00,730.6367022176736
2022-09-21 18:00:00,707.7956110878355
2022-09-23 14:00:00,685.6149794408946
2022-09-25 03:15:00,661.9968484418421
2022-09-26 08:15:00,640.1886138195266
2022-09-27 03:00:00,718.6124981881941
2022-09-28 02:15:00,782.4093080148618
2022-10-04 14:00:00,906.0740366014252
2022-10-05 00:15:00,874.2570684392178
2022-10-05 16:45:00,845.5433928607627
2022-10-06 05:00:00,815.5279121531
2022-10-13 10:30:00,912.306827832009
2022-10-14 21:45:00,883.4899366988692
2022-10-16 00:30:00,854.1861243290875
2022-10-16 21:45:00,826.6014091270981
2022-10-18 18:45:00,799.9234274922535
2022-10-20 10:30:00,773.1142666397002
2022-10-21 15:45:00,746.7564426814779
2022-10-24 03:00:00,722.146728948055
2022-10-24 12:30:00,696.8037586744214
2022-10-25 18:15:00,757.7599672609397
2022-10-27 09:30:00,733.7065714145867
2022-10-28 13:30:00,710.1606113351187
2022-10-29 05:45:00,685.6457421646736
2022-10-31 10:00:00,662.2276399126918
2022-11-01 14:00:00,640.2109298698317
2022-11-02 09:00:00,617.664734569649
2022-11-04 06:00:00,597.9089740412008
2022-11-07 22:15:00,578.889249054906
2022-11-09 18:30:00,630.5490416719128
2022-11-11 08:45:00,611.0787004291911
2022-11-12 05:00:00,592.072176052881
2022-11-14 06:30:00,573.0685413838622
2022-11-14 23:15:00,555.3253571863096
2022-11-15 18:15:00,537.0511023025151
2022-11-18 00:00:00,518.8061238682757
2022-11-21 19:15:00,610.3712147791384
2022-11-30 02:15:00,670.2150832620069
2022-12-02 13:30:00,648.7842166240912
2022-12-04 16:30:00,626.0277320363197
2022-12-08 18:45:00,605.7516357898436
2022-12-10 21:45:00,584.2213165414673
2022-12-11 20:15:00,562.6399655298369
2022-12-13 09:45:00,636.2932824737086
2022-12-14 18:45:00,615.5355603395008
2022-12-16 16:00:00,685.8944022024755
2022-12-18 09:30:00,662.5607964628537
2022-12-28 03:00:00,641.1552230647386
2022-12-30 21:00:00,623.8070742058777
2023-01-04 08:15:00,677.0386157280753
2023-01-06 09:15:00,652.6596650550866
2023-01-09 01:30:00,708.7679980307839
2023-01-10 08:15:00,683.54518380905
2023-01-11 15:30:00,660.0764175851693
2023-01-12 02:45:00,717.4956234811137
2023-01-12 17:30:00,694.3222204061776
2023-01-14 00:00:00,755.5701003785294
2023-01-16 08:00:00,731.5617022553666
2023-01-17 01:00:00,708.6858916659529
2023-01-18 13:45:00,686.0604190536944
2023-01-20 20:30:00,751.8425749389465
2023-01-22 20:00:00,724.392200922223
2023-01-24 09:00:00,698.7200751794608
2023-01-24 22:15:00,676.2192510723631
2023-01-27 01:30:00,654.82338326164
2023-01-27 20:45:00,633.2294652149585
2023-01-30 12:00:00,612.7857427903252
2023-01-31 07:30:00,590.0764229724658
2023-01-31 21:15:00,569.7120121804957
2023-02-01 19:00:00,550.7121390179915
2023-02-09 04:00:00,615.9259605500808
2023-02-15 11:30:00,596.4053628284099
2023-02-15 20:30:00,648.9711716771155
2023-02-16 16:00:00,628.5063193721612
2023-02-22 15:15:00,608.8492258608645
2023-02-23 11:30:00,589.781959760524
2023-02-27 13:30:00,571.3179628494404
2023-02-28 20:00:00,553.0716159970456
2023-03-02 00:15:00,535.5777375030891
2023-03-09 18:30:00,583.0582561146139
2023-03-10 13:30:00,563.784728731142
2023-03-11 17:45:00,546.2242239592855
2023-03-13 14:15:00,594.7590694476082
2023-03-14 21:00:00,576.3533333706316
2023-03-16 10:45:00,558.4556824359502
2023-03-17 21:30:00,646.1910934496163
2023-03-19 03:45:00,625.5864838383281
2023-03-22 19:00:00,605.8884322848555
2023-03-23 18:45:00,587.1147928274387
2023-03-24 14:00:00,568.911128815963
2023-03-25 17:15:00,550.0046482023697
2023-03-27 13:30:00,532.1096419713743
2023-03-28 12:00:00,514.5566686784878
